,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,naze,100,NG,1562898416,97,5.43,7.07,295.174,2.62
1,alofi,75,NU,1562898350,78,-19.06,-169.92,300.15,6.2
2,busselton,100,AU,1562898517,61,-33.64,115.35,288.15,3.26
3,rikitea,0,PF,1562898143,81,-23.12,-134.97,296.124,6.4
4,cape town,75,ZA,1562898001,93,-33.93,18.42,286.48,4.6
5,bluff,0,AU,1562898331,32,-23.58,149.07,295.444,1.27
6,taolanaro,,,,,,,,
7,tasiilaq,6,GL,1562898134,86,65.61,-37.64,278.15,2.1
8,lebu,75,ET,1562898145,93,8.96,38.73,285.15,1
9,samusu,,,,,,,,
10,warrnambool,33,AU,1562898518,61,-38.38,142.48,285.37,7.15
11,codrington,0,AU,1562898369,26,-28.95,153.24,295.37,4.6
12,matamoros,1,US,1562898519,70,25.87,-97.51,304.15,3.1
13,ponta do sol,0,BR,1562898122,59,-20.63,-46,285.553,1.25
14,longyearbyen,75,NO,1562898260,86,78.22,15.63,278.15,11.3
15,new norfolk,75,AU,1562898519,70,-42.78,147.06,280.93,5.1
16,kamaishi,75,JP,1562898242,93,39.28,141.86,291.15,5.1
17,kamina,52,CD,1562898519,45,-8.74,25,288.243,2.11
18,constitucion,75,MX,1562898520,68,23.99,-104.67,291.48,3.6
19,butaritari,55,KI,1562898138,75,3.07,172.79,302.604,4.64
20,qaanaaq,49,GL,1562898343,51,77.48,-69.36,280.844,4.06
21,ust-nera,62,RU,1562898520,41,64.57,143.24,295.134,3.64
22,kahului,20,US,1562898377,43,20.89,-156.47,305.15,10.8
23,sao filipe,0,CV,1562898520,87,14.9,-24.5,295.354,7.64
24,bredasdorp,96,ZA,1562898141,87,-34.53,20.04,286.15,3.1
25,mar del plata,0,AR,1562898271,67,-46.43,-67.52,277.594,3.16
26,jamestown,100,AU,1562898134,73,-33.21,138.6,284.634,9.2
27,kovernino,100,RU,1562898521,86,57.13,43.81,283.053,1.63
28,fairbanks,90,US,1562898315,37,64.84,-147.72,301.48,3.6
29,barrow,88,AR,1562898521,83,-38.31,-60.23,282.023,0.59
30,avarua,2,CK,1562898122,77,-21.21,-159.78,296.284,1.77
31,los llanos de aridane,10,ES,1562898334,60,28.66,-17.92,295.15,1
32,armacao dos buzios,,,,,,,,
33,hithadhoo,0,MV,1562898522,75,-0.6,73.08,302.134,4.79
34,pevek,73,RU,1562898123,72,69.7,170.27,282.214,1.5
35,muros,20,ES,1562898523,100,42.77,-9.06,293.15,1
36,hobart,75,AU,1562898018,70,-42.88,147.33,281.15,7.7
37,kapaa,20,US,1562898142,66,22.08,-159.32,303.15,5.1
38,pleasanton,75,US,1562898491,77,37.66,-121.87,302.15,4.6
